_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantLZS,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:medium,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemtype,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemstatus,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:stalbezetting,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting,, ,,,,,,,,,,,,,,,,,,,,,
conceptscheme:norm-bandbreedte,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem normbandbreedte,Ranges,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter-norm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem parameter specificatie,,,"Het schema van indelingsklassen (1, 2, 3) zoals vastgelegd in de Vlaamse milieuregelgeving (VLAREM).",,,,,,,,,,,,,,,,,,,,
conceptscheme-alg:vlarem-klasse,skos:ConceptScheme,,,VLAREM indelingsklassen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemopstelling,skos:ConceptScheme,,,conceptschema  luchtzuiveringssysteem opstelingen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:dataleverancierstatus,skos:ConceptScheme,,,conceptschema dataleverancier status,,,,,,,,,,,,,,,,,,,,,,,
lzs-param:waswaterdebietbevloeiing,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Waswaterdebiet van de bevloeiing van het vulmateriaal,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:VolumeFlowRate,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzs-medium:waswater,,,,,,,,,
lzs-param:waswaterdebietvoorbevochtiging,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Waswaterdebiet van de voorbevochtiging van de ingaande stallucht,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:VolumeFlowRate,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzs-medium:waswater,,,,,,,,,
lzs-param:zuurtegraadwaswater,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Zuurtegraad van het waswater,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2,,quantitykind:Acidity,http://qudt.org/vocab/unit/PH,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0076,lzs-medium:waswater,procedure:WAC_I_A_011,,,,,,,,
lzs-param:elektriciteitsverbruikwaterpompen,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Elektriciteitsverbruik van de waswaterpomp(en),,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:lelysphere,,quantitykind:Energy,http://qudt.org/vocab/unit/KiloW-HR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzs-type:luchtzuiveringssysteem,skos:Concept,conceptscheme:systeemtype,conceptscheme:systeemtype,Luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,,,,
lzs-type:luchtwassysteem,skos:Concept,,conceptscheme:systeemtype,Luchtwassysteem ,,,,,lzs-type:luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,
lzs-type:s2,skos:Concept,,conceptscheme:systeemtype,Chemisch luchtwassysteem,,S2,,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,,,
lzs-type:s1,skos:Concept,,conceptscheme:systeemtype,Biologisch luchtwassysteem,,S1,,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,,,
lzs-type:s3,skos:Concept,,conceptscheme:systeemtype,Biobed,,S3,,,lzs-type:luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,
lzs-type:lelysphere,skos:Concept,,conceptscheme:systeemtype,Lely Sphere,,Lelysphere,,,lzs-type:luchtwassysteem,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzs-status:operationeel,skos:Concept,conceptscheme:systeemstatus,conceptscheme:systeemstatus,Operationeel,,,,,,,,,,,,,,,,,,,,,,,
lzs-status:storing,skos:Concept,conceptscheme:systeemstatus,conceptscheme:systeemstatus,Storing,,,,,,,,,,,,,,,,,,,,,,,
lzs-status:onderhoud,skos:Concept,conceptscheme:systeemstatus,conceptscheme:systeemstatus,In onderhoud,,,,,,,,,,,,,,,,,,,,,,,
