_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantriepr,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
riepr-installatie-type:zuiveringsinstallatie,skos:Concept,conceptscheme:installatie_type,conceptscheme:installatie_type,Zuiveringsinstallatie,,zuiveringsinstallatie,,,,,,,,,,,,,,,,,,,,,
riepr-installatie-type:oven,skos:Concept,conceptscheme:installatie_type,conceptscheme:installatie_type,Oven,,oven,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-filter-type:peilfilter,skos:Concept,conceptscheme:filter_type,conceptscheme:filter_type,Peilfilter,,peilfilter,Filter voor het meten van het grondwaterpeil.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-emissiepunt-type:lozingspunt,skos:Concept,conceptscheme:emissiepunt_type,conceptscheme:emissiepunt_type,Lozingspunt,,lozingspunt,,,,,,,,,,,,,,,,,,,,,
riepr-emissiepunt-type:fakkel,skos:Concept,conceptscheme:emissiepunt_type,conceptscheme:emissiepunt_type,Fakkel,,fakkel,,,,,,,,,,,,,,,,,,,,,
riepr-emissiepunt-type:emissiepunt,skos:Concept,conceptscheme:emissiepunt_type,conceptscheme:emissiepunt_type,Emissiepunt,,emissiepunt,,,,,,,,,,,,,,,,,,,,,
riepr-emissiepunt-type:schouw,skos:Concept,conceptscheme:emissiepunt_type,conceptscheme:emissiepunt_type,Schouw,,schouw,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
riepr-emissiepunt-attr:schouw-hoogte,skos:Concept,conceptscheme:emissiepunt_attributen,conceptscheme:emissiepunt_attributen,Hoogte van de schouw,,hoogte,,,,http://www.w3.org/2001/XMLSchema#decimal,,riepr-emissiepunt-type:schouw,http://dbpedia.org/ontology/height,,http://qudt.org/vocab/unit/M,,,,,,,,,,,,
riepr-emissiepunt-attr:schouw-diameter,skos:Concept,conceptscheme:emissiepunt_attributen,conceptscheme:emissiepunt_attributen,Diameter van de schouw,,diameter,,,,http://www.w3.org/2001/XMLSchema#decimal,,riepr-emissiepunt-type:schouw,http://dbpedia.org/ontology/diameter,,http://qudt.org/vocab/unit/M,,,,,,,,,,,,
